UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
P,7,2013,19,4392454,2259174,2133280,1669345,1565655,360460,346659,33983,32506,112410,106671,6026,5908,76950,75881,1738091,1633337,396092,382917,56755,55006,140274,133428,12769,12413,1777705,1682171,1246936,1171180,336830,324346,19904,18909,107700,102037,4377,4284,61958,61415,1302342,1226048,366068,354312,36100,35098,131212,124572,9619,9331,481469,451109,422409,394475,23630,22313,14079,13597,4710,4634,1649,1624,14992,14466,435749,407289,30024,28605,20655,19908,9062,8856,3150,3082
P,7,2013,20,4469149,2307192,2161957,1701262,1584277,374185,355951,35448,33237,115640,109507,6348,5989,74309,72996,1767359,1649137,407776,390018,58186,55751,142781,135426,12978,12376,1818233,1711343,1272336,1189893,349872,333696,20683,19627,110924,104835,4562,4349,59856,58943,1325644,1242350,377324,361585,36852,35819,134015,126806,9783,9337,488959,450614,428926,394384,24313,22255,14765,13610,4716,4672,1786,1640,14453,14053,441715,406787,30452,28433,21334,19932,8766,8620,3195,3039
P,7,2013,21,4592550,2366407,2226143,1746259,1630676,380733,366220,37050,34030,122915,116275,6707,6169,72743,72773,1810537,1694872,412236,399176,60252,56539,149906,143099,13455,12844,1867514,1768338,1309004,1231030,356001,342569,21596,20294,117980,111412,4757,4472,58176,58561,1360426,1282783,381319,369302,38127,36466,140910,134141,10066,9625,498893,457805,437255,399646,24732,23651,15454,13736,4935,4863,1950,1697,14567,14212,450111,412089,30917,29874,22125,20073,8996,8958,3389,3219
P,7,2013,22,4679626,2399319,2280307,1770383,1668057,381984,373827,37092,33620,133121,127249,7467,6594,69272,70960,1830759,1729986,411171,405802,59271,55504,159948,154194,14458,13475,1903377,1828081,1337311,1275078,356401,349251,21423,20110,127840,122026,5422,4816,54980,56800,1385141,1324621,379576,374983,37073,35692,150638,144806,10904,10258,495942,452226,433072,392979,25583,24576,15669,13510,5281,5223,2045,1778,14292,14160,445618,405365,31595,30819,22198,19812,9310,9388,3554,3217
P,7,2013,23,4674763,2392428,2282335,1771484,1671115,373356,370544,36491,32770,138590,134124,7754,6849,64753,66933,1827958,1729611,399930,400038,57345,53834,164105,159516,14339,13286,1899736,1838668,1340764,1285531,348197,345920,20752,19718,133278,129105,5556,5046,51189,53348,1385315,1332078,369081,369396,35430,34619,154947,150703,10710,10128,492692,443667,430720,385584,25159,24624,15739,13052,5312,5019,2198,1803,13564,13585,442643,397533,30849,30642,21915,19215,9158,8813,3629,3158
P,7,2013,24,4490132,2296112,2194020,1708160,1607580,346880,348478,34803,30921,139172,138349,7443,6565,59654,62127,1760126,1661691,370884,375295,54417,50406,162615,162530,13560,12688,1826297,1774713,1297319,1242739,323114,325217,19484,18546,134195,133431,5426,4896,46759,49884,1337976,1286084,341636,346696,33069,32490,154123,154151,10279,9760,469815,419307,410841,364841,23766,23261,15319,12375,4977,4918,2017,1669,12895,12243,422150,375607,29248,28599,21348,17916,8492,8379,3281,2928
P,7,2013,25,4386017,2238713,2147304,1681790,1586216,323660,327851,34075,30215,135594,137479,7423,6485,56171,59058,1730563,1637703,345649,353016,52529,48851,158128,160650,13354,12361,1770190,1732632,1270777,1224986,300944,305222,18679,17820,130861,132815,5346,4834,43583,46955,1308523,1265905,317677,324969,31213,30971,149982,152609,9975,9527,468523,414672,411013,361230,22716,22629,15396,12395,4733,4664,2077,1651,12588,12103,422040,371798,27972,28047,21316,17880,8146,8041,3379,2834
P,7,2013,26,4312988,2198450,2114538,1663424,1567178,308447,316579,33013,29226,133478,138114,7352,6402,52736,57039,1709222,1616920,329016,340600,50703,47722,154577,160400,12883,11997,1736986,1703991,1257530,1209098,286716,294484,18022,17165,128785,133573,5247,4697,40686,44974,1292700,1248221,302166,313152,30004,30098,146716,152625,9630,9133,461464,410547,405894,358080,21731,22095,14991,12061,4693,4541,2105,1705,12050,12065,416522,368699,26850,27448,20699,17624,7861,7775,3253,2864
P,7,2013,27,4334518,2205366,2129152,1676661,1583546,301219,312875,32749,29281,135802,142433,7443,6492,51492,54525,1721318,1630769,320728,335428,50312,47412,156433,163792,13028,12042,1738054,1716460,1265415,1222887,279282,290844,17285,16943,131161,137983,5263,4885,39648,42918,1299683,1259944,293813,308310,29194,29768,148641,156143,9683,9316,467312,412692,411246,360659,21937,22031,15464,12338,4641,4450,2180,1607,11844,11607,421635,370825,26915,27118,21118,17644,7792,7649,3345,2726
P,7,2013,28,4372680,2216800,2155880,1690688,1604304,298612,312998,32264,29278,138182,148934,7301,6493,49753,53873,1733831,1651058,317084,334529,49507,47485,158240,170371,12746,12038,1746534,1738506,1276148,1239074,276991,290977,16966,16897,133589,144518,5097,4879,37743,42161,1308675,1275528,290448,307319,28455,29711,150521,162850,9355,9301,470266,417374,414540,365230,21621,22021,15298,12381,4593,4416,2204,1614,12010,11712,425156,375530,26636,27210,21052,17774,7719,7521,3391,2737
